predicates,submission_number
K854830,K961107
K922912,K961107
K872220,K961107
K881787,K961107
K861765,K961107
K902755,K961107
K852123,K961107
K874202,K961107
K942066,K961107
K913631,K961107
K884262,K961107
K894277,K961165
K894263,K961484
K892425,K961484
K921740,K961484
K911750,K961484
K912630,K961484
K891292,K961484
K874643,K961260
K940537,K961260
K873104,K961260
K873073,K961260
K865032,K961272
K895520,K961272
K921608,K961292
K874688,K961292
K830577,K961292
K871271,K961292
K946012,K961299
K961800,K961343
K893977,K961360
K910876,K961361
K896515,K961368
K951832,K961368
K901687,K961378
K873797,K961378
K850055,K961378
K912452,K961388
K954023,K961388
K911728,K961388
K850247,K961392
K942709,K961392
K900263,K961392
K882770,K961400
K934303,K961400
K921540,K961425
K915638,K961426
K872166,K961439
K830190,K961465
K841153,K961465
K922933,K961530
K923272,K961530
K884871,K961593
K902846,K961593
K933018,K961624
K943021,K961624
K920038,K961645
K913407,K961664
K923889,K961665
K900179,K961665
K935688,K961711
K932935,K961732
K933567,K961732
K905298,K961732
K933108,K961732
K830577,K961797
K874688,K961891
K914775,K961891
K882683,K961891
K932571,K961805
K844409,K961805
K823767,K961805
K820254,K961805
K873535,K961817
K940802,K961821
K945072,K961833
K925950,K961834
K951262,K961834
K911783,K961834
K942233,K961834
K936003,K961836
K922799,K961836
K932254,K961836
K933496,K961836
K891230,K961836
K933296,K961836
K951262,K961844
K911783,K961844
K954848,K961847
K771653,K961848
K897096,K961862
K832023,K961883
K924400,K961929
K893534,K961929
K893535,K961929
